year,state_fips,state_name,median_household_income
2016,35,New Mexico,46748
2016,36,New York,62909
2016,37,North Carolina,50584
2016,38,North Dakota,60656
2016,39,Ohio,52334
2016,40,Oklahoma,49176
2016,41,Oregon,57532
2016,42,Pennsylvania,56907
2016,44,Rhode Island,60596
2016,45,South Carolina,49501
2016,46,South Dakota,54467
2016,47,Tennessee,48547
2016,48,Texas,56565
2016,50,Vermont,57677
2016,49,Utah,65977
2016,51,Virginia,68114
2016,53,Washington,67106
2016,54,West Virginia,43385
2016,55,Wisconsin,56811
2016,56,Wyoming,59882
2016,72,Puerto Rico,20078
2016,01,Alabama,46257
2016,02,Alaska,76440
2016,04,Arizona,53558
2016,05,Arkansas,44334
2016,06,California,67739
2016,08,Colorado,65685
2016,10,Delaware,61757
2016,11,District of Columbia,75506
2016,09,Connecticut,73433
2016,12,Florida,50860
2016,13,Georgia,53559
2016,16,Idaho,51807
2016,15,Hawaii,74511
2016,17,Illinois,60960
2016,18,Indiana,52314
2016,19,Iowa,56247
2016,20,Kansas,54935
2016,21,Kentucky,46659
2016,22,Louisiana,45146
2016,23,Maine,53079
2016,24,Maryland,78945
2016,25,Massachusetts,75297
2016,26,Michigan,52492
2016,27,Minnesota,65599
2017,28,Mississippi,43529
2017,29,Missouri,53578
2017,30,Montana,53386
2017,31,Nebraska,59970
2017,32,Nevada,58003
2017,33,New Hampshire,73381
2017,34,New Jersey,80088
2017,35,New Mexico,46744
2017,36,New York,64894
2017,37,North Carolina,52752
2017,38,North Dakota,61843
2017,39,Ohio,54021
2017,40,Oklahoma,50051
2017,41,Oregon,60212
2017,42,Pennsylvania,59195
2017,44,Rhode Island,63870
2017,45,South Carolina,50570
2017,46,South Dakota,56521
2017,47,Tennessee,51340
2017,48,Texas,59206
2017,50,Vermont,57513
2017,49,Utah,68358
2017,51,Virginia,71535
2017,53,Washington,70979
2017,54,West Virginia,43469
2017,55,Wisconsin,59305
2017,56,Wyoming,60434
2017,72,Puerto Rico,19343
2017,01,Alabama,48123
2017,02,Alaska,73181
2017,04,Arizona,56581
2017,05,Arkansas,45869
2017,06,California,71805
2017,08,Colorado,69117
2017,10,Delaware,62852
2017,11,District of Columbia,82372
2017,09,Connecticut,74168
2017,12,Florida,52594
2017,13,Georgia,56183
2017,16,Idaho,52225
2017,15,Hawaii,77765
2017,17,Illinois,62992
2017,18,Indiana,54181
2017,19,Iowa,58570
2017,20,Kansas,56422
2017,21,Kentucky,48375
2017,22,Louisiana,46145
2017,23,Maine,56277
2017,24,Maryland,80776
2017,25,Massachusetts,77385
2017,26,Michigan,54909
2017,27,Minnesota,68388
2018,55,Wisconsin,60773
2018,56,Wyoming,61584
2018,72,Puerto Rico,20296
2018,28,Mississippi,44717
2018,29,Missouri,54478
2018,30,Montana,55328
2018,31,Nebraska,59566
2018,32,Nevada,58646
2018,33,New Hampshire,74991
2018,34,New Jersey,81740
2018,35,New Mexico,47169
2018,36,New York,67844
2018,37,North Carolina,53855
2018,38,North Dakota,63837
2018,39,Ohio,56111
2018,40,Oklahoma,51924
2018,41,Oregon,63426
2018,42,Pennsylvania,60905
2018,44,Rhode Island,64340
2018,45,South Carolina,52306
2018,46,South Dakota,56274
2018,47,Tennessee,52375
2018,48,Texas,60629
2018,50,Vermont,60782
2018,49,Utah,71414
2018,51,Virginia,72577
2018,53,Washington,74073
2018,54,West Virginia,44097
2018,01,Alabama,49861
2018,02,Alaska,74346
2018,04,Arizona,59246
2018,05,Arkansas,47062
2018,06,California,75277
2018,08,Colorado,71953
2018,10,Delaware,64805
2018,11,District of Columbia,85203
2018,09,Connecticut,76348
2018,12,Florida,55462
2018,13,Georgia,58756
2018,16,Idaho,55583
2018,15,Hawaii,80212
2018,17,Illinois,65030
2018,18,Indiana,55746
2018,19,Iowa,59955
2018,20,Kansas,58218
2018,21,Kentucky,50247
2018,22,Louisiana,47905
2018,23,Maine,55602
2018,24,Maryland,83242
2018,25,Massachusetts,79835
2018,26,Michigan,56697
2018,27,Minnesota,70315
2019,28,Mississippi,45792
2019,29,Missouri,57409
2019,30,Montana,57153
2019,31,Nebraska,63229
2019,32,Nevada,63276
2019,33,New Hampshire,77933
2019,34,New Jersey,85751
2019,35,New Mexico,51945
2019,36,New York,72108
2019,37,North Carolina,57341
2019,38,North Dakota,64577
2019,39,Ohio,58642
2019,40,Oklahoma,54449
2019,41,Oregon,67058
2019,42,Pennsylvania,63463
2019,44,Rhode Island,71169
2019,45,South Carolina,56227
2019,46,South Dakota,59533
2019,47,Tennessee,56071
2019,48,Texas,64034
2019,50,Vermont,63001
2019,49,Utah,75780
2019,51,Virginia,76456
2019,53,Washington,78687
2019,54,West Virginia,48850
2019,55,Wisconsin,64168
2019,56,Wyoming,65003
2019,72,Puerto Rico,20474
2019,17,Illinois,69187
2019,13,Georgia,61980
2019,16,Idaho,60999
2019,15,Hawaii,83102
2019,18,Indiana,57603
2019,19,Iowa,61691
2019,20,Kansas,62087
2019,21,Kentucky,52295
2019,22,Louisiana,51073
2019,23,Maine,58924
2019,24,Maryland,86738
2019,25,Massachusetts,85843
2019,26,Michigan,59584
2019,27,Minnesota,74593
2019,09,Connecticut,78833
2019,12,Florida,59227
2019,01,Alabama,51734
2019,02,Alaska,75463
2019,04,Arizona,62055
2019,05,Arkansas,48952
2019,06,California,80440
2019,08,Colorado,77127
2019,10,Delaware,70176
2019,11,District of Columbia,92266
2021,01,Alabama,53913
2021,72,Puerto Rico,22237
2021,04,Arizona,69056
2021,05,Arkansas,52528
2021,06,California,84907
2021,08,Colorado,82254
2021,09,Connecticut,83771
2021,10,Delaware,71091
2021,11,District of Columbia,90088
2021,12,Florida,63062
2021,13,Georgia,66559
2021,15,Hawaii,84857
2021,16,Idaho,66474
2021,17,Illinois,72205
2021,18,Indiana,62743
2021,19,Iowa,65600
2021,20,Kansas,64124
2021,21,Kentucky,55573
2021,22,Louisiana,52087
2021,23,Maine,64767
2021,24,Maryland,90203
2021,25,Massachusetts,89645
2021,26,Michigan,63498
2021,27,Minnesota,77720
2021,28,Mississippi,48716
2021,29,Missouri,61847
2021,30,Montana,63249
2021,31,Nebraska,66817
2021,32,Nevada,66274
2021,33,New Hampshire,88465
2021,34,New Jersey,89296
2021,35,New Mexico,53992
2021,36,New York,74314
2021,37,North Carolina,61972
2021,38,North Dakota,66519
2021,39,Ohio,62262
2021,40,Oklahoma,55826
2021,41,Oregon,71562
2021,42,Pennsylvania,68957
2021,44,Rhode Island,74008
2021,45,South Carolina,59318
2021,46,South Dakota,66143
2021,47,Tennessee,59695
2021,48,Texas,66963
2021,49,Utah,79449
2021,50,Vermont,72431
2021,51,Virginia,80963
2021,53,Washington,84247
2021,54,West Virginia,51248
2021,55,Wisconsin,67125
2021,56,Wyoming,65204
2021,02,Alaska,77845
2022,01,Alabama,59674
2022,02,Alaska,88121
2022,04,Arizona,74568
2022,05,Arkansas,55432
2022,06,California,91551
2022,08,Colorado,89302
2022,09,Connecticut,88429
2022,10,Delaware,82174
2022,11,District of Columbia,101027
2022,12,Florida,69303
2022,13,Georgia,72837
2022,15,Hawaii,92458
2022,16,Idaho,72785
2022,17,Illinois,76708
2022,18,Indiana,66785
2022,19,Iowa,69588
2022,20,Kansas,68925
2022,21,Kentucky,59341
2022,22,Louisiana,55416
2022,23,Maine,69543
2022,24,Maryland,94991
2022,25,Massachusetts,94488
2022,26,Michigan,66986
2022,27,Minnesota,82338
2022,28,Mississippi,52719
2022,29,Missouri,64811
2022,30,Montana,67631
2022,31,Nebraska,69597
2022,32,Nevada,72333
2022,33,New Hampshire,89992
2022,34,New Jersey,96346
2022,35,New Mexico,59726
2022,36,New York,79557
2022,37,North Carolina,67481
2022,38,North Dakota,71970
2022,39,Ohio,65720
2022,40,Oklahoma,59673
2022,41,Oregon,75657
2022,42,Pennsylvania,71798
2022,44,Rhode Island,81854
2022,45,South Carolina,64115
2022,46,South Dakota,69728
2022,47,Tennessee,65254
2022,48,Texas,72284
2022,49,Utah,89168
2022,50,Vermont,73991
2022,51,Virginia,85873
2022,53,Washington,91306
2022,54,West Virginia,54329
2022,55,Wisconsin,70996
2022,56,Wyoming,70042
2022,72,Puerto Rico,24112
2023,01,Alabama,62212
2023,02,Alaska,86631
2023,04,Arizona,77315
2023,05,Arkansas,58700
2023,06,California,95521
2023,08,Colorado,92911
2023,09,Connecticut,91665
2023,10,Delaware,81361
2023,11,District of Columbia,108210
2023,12,Florida,73311
2023,13,Georgia,74632
2023,15,Hawaii,95322
2023,16,Idaho,74942
2023,17,Illinois,80306
2023,18,Indiana,69477
2023,19,Iowa,71433
2023,20,Kansas,70333
2023,21,Kentucky,61118
2023,22,Louisiana,58229
2023,23,Maine,73733
2023,24,Maryland,98678
2023,25,Massachusetts,99858
2023,26,Michigan,69183
2023,27,Minnesota,85086
2023,28,Mississippi,54203
2023,29,Missouri,68545
2023,30,Montana,70804
2023,31,Nebraska,74590
2023,32,Nevada,76364
2023,33,New Hampshire,96838
2023,34,New Jersey,99781
2023,35,New Mexico,62268
2023,36,New York,82095
2023,37,North Carolina,70804
2023,38,North Dakota,76525
2023,39,Ohio,67769
2023,40,Oklahoma,62138
2023,41,Oregon,80160
2023,42,Pennsylvania,73824
2023,44,Rhode Island,84972
2023,45,South Carolina,67804
2023,46,South Dakota,71810
2023,47,Tennessee,67631
2023,48,Texas,75780
2023,49,Utah,93421
2023,50,Vermont,81211
2023,51,Virginia,89931
2023,53,Washington,94605
2023,54,West Virginia,55948
2023,55,Wisconsin,74631
2023,56,Wyoming,72415
2023,72,Puerto Rico,25621
